sample	Day	WoundZone
D11.20.Biopsy_19	1	Center
D11.20.Biopsy_20	1	Intermediate
D11.20.Biopsy_21	1	Edge
D11.20.Biopsy_22	3	Center
D11.20.Biopsy_23	3	Intermediate
D11.20.Biopsy_24	3	Intermediate
D11.20.Biopsy_25	3	Intermediate
D11.20.Biopsy_27	3	Edge
D11.20.Biopsy_28	3	Edge
D11.20.Biopsy_29	3	Intermediate
D12.20.Biopsy_34	1	Center
D12.20.Biopsy_35	1	Intermediate
D12.20.Biopsy_36	1	Edge
D12.20.Biopsy_37	2	Center
D12.20.Biopsy_38	2	Intermediate
D12.20.Biopsy_39	2	Intermediate
D12.20.Biopsy_40	2	Intermediate
D12.20.Biopsy_41	2	Intermediate
D12.20.Biopsy_42	2	Edge
D12.20.Biopsy_43	2	Edge
D12.20.Biopsy_44	2	Edge
D12.20.Biopsy_45	2	Edge
D13.20.Biopsy_50	2	Center
D13.20.Biopsy_51	2	Intermediate
D13.20.Biopsy_52	2	Edge
D13.20.Biopsy_53	4	Center
D13.20.Biopsy_54	4	Intermediate
D13.20.Biopsy_55	4	Intermediate
D13.20.Biopsy_56	4	Intermediate
D13.20.Biopsy_57	4	Intermediate
D13.20.Biopsy_58	4	Edge
D13.20.Biopsy_59	4	Edge
D13.20.Biopsy_60	4	Edge
D13.20.Biopsy_61	4	Edge
D14.20.Biopsy_66	1	Center
D14.20.Biopsy_67	1	Intermediate
D14.20.Biopsy_68	1	Edge
D14.20.Biopsy_69	4	Center
D14.20.Biopsy_70	4	Intermediate
D14.20.Biopsy_71	4	Intermediate
D14.20.Biopsy_72	4	Intermediate
D14.20.Biopsy_73	4	Intermediate
D14.20.Biopsy_74	4	Edge
D14.20.Biopsy_75	4	Edge
D14.20.Biopsy_76	4	Edge
D14.20.Biopsy_77	4	Edge
D15.20.Biopsy_82	3	Center
D15.20.Biopsy_83	3	Intermediate
D15.20.Biopsy_84	3	Edge
D15.20.Biopsy_85	7	Center
D15.20.Biopsy_86	7	Intermediate
D15.20.Biopsy_87	7	Intermediate
D15.20.Biopsy_88	7	Intermediate
D15.20.Biopsy_89	7	Intermediate
D15.20.Biopsy_90	7	Edge
D15.20.Biopsy_91	7	Edge
D15.20.Biopsy_92	7	Edge
D15.20.Biopsy_93	7	Edge
D17.20.Biopsy_100	7	Edge
D17.20.Biopsy_101	14	Center
D17.20.Biopsy_102	14	Intermediate
D17.20.Biopsy_103	14	Edge
D17.20.Biopsy_123	42	Center
D17.20.Biopsy_124	42	Intermediate
D17.20.Biopsy_125	42	Intermediate
D17.20.Biopsy_126	42	Edge
D17.20.Biopsy_127	42	Edge
D17.20.Biopsy_128	42	Edge
D17.20.Biopsy_129	42	Edge
D17.20.Biopsy_98	7	Center
D17.20.Biopsy_99	7	Intermediate
D17.21.Biopsy_214	2	Center
D17.21.Biopsy_215	2	Intermediate
D17.21.Biopsy_216	2	Edge
D17.21.Biopsy_217	4	Center
D17.21.Biopsy_218	4	Intermediate
D17.21.Biopsy_219	4	Edge
